step,train_loss,train_perplexity,lr,grad_norm,tokens_seen,tokens_per_sec,elapsed_s,val_loss,val_perplexity
1260,2.670362,14.4452,0.00282344040198916,0.5959,10321920,107180.3,31.87,,
1270,2.598131,13.4386,0.0028198045926032126,0.5763,10403840,339507.3,32.11,,
1280,2.609593,13.5935,0.0028161344032765706,0.5894,10485760,333605.6,32.36,,
1290,2.566651,13.0221,0.0028124299418741637,0.5036,10567680,353940.6,32.59,,
1300,2.491398,12.0782,0.002808691317268162,0.5683,10649600,354654.8,32.82,,
1310,2.696789,14.832,0.002804918639334773,0.5909,10731520,362689.7,33.05,,
1320,2.556186,12.8866,0.0028011120189510128,0.6494,10813440,360997.1,33.27,,
1330,2.693263,14.7798,0.00279727156799145,0.5632,10895360,360636.4,33.5,,
1340,2.585933,13.2757,0.0027933973993249147,0.5435,10977280,355598.5,33.73,,
1350,2.675899,14.5254,0.002789489626811183,0.5537,11059200,363989.9,33.96,,
1360,2.585803,13.2739,0.00278554836529763,0.6612,11141120,364201.3,34.18,,
1370,2.631666,13.8969,0.0027815737306158554,0.6465,11223040,363081.0,34.41,,
1380,2.663491,14.3463,0.002777565839578279,0.5919,11304960,357795.0,34.64,,
1390,2.548077,12.7825,0.002773524809974707,0.5803,11386880,358180.7,34.87,,
1400,2.586247,13.2798,0.0027694507605688693,0.6117,11468800,364246.1,35.09,,
1410,2.624957,13.804,0.0027653438110949334,0.5692,11550720,364313.3,35.32,,
1420,2.520394,12.4335,0.002761204082253979,0.5513,11632640,355698.6,35.55,,
1430,2.590847,13.3411,0.002757031695710457,0.5983,11714560,360067.2,35.77,,
1440,2.582565,13.231,0.0027528267740886095,0.6483,11796480,364745.7,36.0,,
1450,2.531895,12.5773,0.002748589440968868,0.6054,11878400,363555.5,36.22,,
1460,2.456596,11.665,0.00274431982088422,0.5685,11960320,362823.0,36.45,,
1470,2.586942,13.2891,0.00274001803931655,0.5396,12042240,361452.8,36.68,,
1480,2.518839,12.4142,0.0027356842226929534,0.6247,12124160,355345.8,36.91,,
1490,2.559723,12.9322,0.0027313184983820166,0.5138,12206080,363644.4,37.13,,
1500,2.458892,11.6919,0.002726920994690077,0.5522,12288000,363406.7,37.36,,
1500,2.458892,11.6919,0.002726920994690077,0.5522,12288000,,37.69,2.557343,12.9015
1510,2.568508,13.0463,0.0027224918408574523,0.6082,12369920,109950.7,38.1,,
1520,2.594013,13.3834,0.0027180311670546397,0.5385,12451840,364153.1,38.33,,
1530,2.541571,12.6996,0.002713539104378492,0.5361,12533760,362499.6,38.55,,
1540,2.547179,12.771,0.002709015784848365,0.5273,12615680,364913.4,38.78,,
1550,2.438144,11.4518,0.0027044613414022372,0.5854,12697600,360971.7,39.0,,
1560,2.479668,11.9373,0.0026998759078928013,0.5331,12779520,364120.7,39.23,,
1570,2.532903,12.59,0.0026952596190835325,0.5773,12861440,364311.8,39.45,,
1580,2.475605,11.8889,0.0026906126106447277,0.5619,12943360,359109.9,39.68,,
1590,2.537426,12.6471,0.0026859350191495153,0.5734,13025280,358233.4,39.91,,
1600,2.490928,12.0725,0.002681226982069847,0.543,13107200,354950.8,40.14,,
